query_file,NumberOfLines,NumberOfKeywords,Keywords, ,qlever_NumberOfResult,qlever_Class,qlever_Time,qlever_Error,  ,fuseki_NumberOfResult,fuseki_Class,fuseki_Time,fuseki_Error,   ,neptune_NumberOfResult,neptune_Class,neptune_Time,neptune_Error,    ,stardog_NumberOfResult,stardog_Class,stardog_Time,stardog_Error,     ,graphdb_NumberOfResult,graphdb_Class,graphdb_Time,graphdb_Error,      ,rdfox_NumberOfResult,rdfox_Class,rdfox_Time,rdfox_Error,       ,rdfox_adjusted_NumberOfResult,rdfox_adjusted_Class,rdfox_adjusted_Time,rdfox_adjusted_Error,        ,median,Arithmetic Mean,std,results_std
Query_001.sparql,3,2,"{'select': 1, 'where': 1}", ,154.0,Success,0.0017090999999999,, ,154.0,Success,0.0131209,, ,154.0,Success,0.0456338,, ,154.0,Success,0.0060907999999999,, ,154.0,Success,0.0095221,, ,154.0,Success,0.0010475999999999,, ,154.0,Success,0.000421659,, ,0.0060907999999999,0.0110779941428571,0.015955733335168507,0.0
Query_002.sparql,3,2,"{'select': 1, 'where': 1}", ,7.0,Success,0.0012988,, ,7.0,Success,0.0086343,, ,7.0,Success,0.0326061,, ,7.0,Success,0.0048671,, ,7.0,Success,0.0047897999999999,, ,7.0,Success,0.0008781,, ,7.0,Success,0.000353435,, ,0.0047897999999999,0.007632519285714271,0.011395431416227163,0.0
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: year(?birthdate) as ?birthyear) (year(?deathdate) as ?deathyear) ?genderLabel
WHERE
{
  ?horse wdt:P31/wdt:P279* wd:Q726 .     # Instance et sous-classes de Q726-Cheval
   
  OPTIONAL{?horse wdt:P25 ?mother .}       # P25  : Mère
  OPTIONAL{?horse wdt:P22 ?father .}       # P22  : Père
  OPTIONAL{?horse wdt:P569 ?birthdate .} # P569 : Date de naissance
  OPTIONAL{?horse wdt:P570 ?deathdate .}     # P570 : Date de décès
  OPTIONAL{?horse wdt:P21 ?gender .}       # P21  : Sexe
 
  #SERVICE wikibase:label { #BabelRainbow
#    bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],fr,ar,be,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,he,hi,hu,hy,id,it,ja,jv,ko,nb,nl,eo,pa,pl,pt,ro,ru,sh,sk,sr,sv,sw,te,th,tr,uk,yue,vec,vi,zh""
#  }
}
ORDER BY ?horse", ,13600.0,Success,0.9066343,, ,13600.0,Success,0.5636723,, ,13600.0,Success,18.6452954,, ,13600.0,Success,0.4400642999999999,, ,13600.0,Success,37.501349,, ,13600.0,Success,15.09429297,, ,15.09429297,96.16447260999999,222.5795470986815,0.0
Query_004.sparql,4,2,"{'select': 1, 'where': 1}", ,40.0,Success,0.0015096,, ,40.0,Success,0.0065727999999999,, ,40.0,Success,0.0223523,, ,40.0,Success,0.0059298,, ,40.0,Success,0.004272,, ,40.0,Success,0.001068,, ,40.0,Success,0.00042987,, ,0.004272,0.006019195714285699,0.007596367687023969,0.0
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}", ,,Error,600.0,"ParseException, cause: Error in SELECT: unexpected token: *", ,41486.0,Success,0.8129194999999999,, ,41486.0,Success,0.4577664,, ,41486.0,Success,18.3510674,, ,41486.0,Success,0.3819723,, ,41486.0,Success,13.7648389,, ,41486.0,Success,5.540347657,, ,5.540347657,91.32984459385715,224.41403722178507,0.0
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}", ,,Error,600.0,"This parser currently doesn't support COUNT(*), please specify an explicit expression for the COUNT", ,1.0,Success,2.5527196,, ,1.0,Success,13.184,, ,1.0,Success,2.0344857,, ,1.0,Success,4.9059722,, ,1.0,Success,8.7477777,, ,1.0,Success,3.520980524,, ,4.9059722,90.70656224628571,224.6121471208428,0.0
Query_007.sparql,4,2,"{'select': 1, 'where': 1}", ,449.0,Success,0.0018619,, ,449.0,Success,25.5009411,, ,449.0,Success,0.0375847,, ,449.0,Success,0.0096038,, ,449.0,Success,0.0074239,, ,449.0,Success,0.0017883,, ,449.0,Success,0.000719791,, ,0.0074239,3.651417641571429,9.634742762291262,0.0
Query_008.sparql,5,2,"{'select': 1, 'where': 1}", ,462.0,Success,0.0020019,, ,462.0,Success,54.6595098,, ,462.0,Success,0.0396326,, ,462.0,Success,0.0117168999999999,, ,462.0,Success,0.0082683,, ,462.0,Success,0.0018061,, ,462.0,Success,0.000726955,, ,0.0082683,7.817666079285715,20.655316003704602,0.0
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}", ,0.0,Success,0.0017185,Empty Response, ,0.0,Success,28.1420087,Empty Response, ,0.0,Success,0.2805143,Empty Response, ,0.0,Success,0.0978811,Empty Response, ,0.0,Success,0.0754247,Empty Response, ,0.0,Success,0.0174196,Empty Response, ,0.0,Success,0.007011389,Empty Response, ,0.0754247,4.088854041285714,10.606883578579211,0.0
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}", ,0.0,Success,0.0023237,Empty Response, ,,Timeout,600.0,Query timed out, ,0.0,Success,0.4343554,Empty Response, ,0.0,Success,9.6377445,Empty Response, ,0.0,Success,0.1647551,Empty Response, ,0.0,Success,16.2588704,Empty Response, ,0.0,Success,6.544195336,Empty Response, ,6.544195336,90.434606348,224.77816957886833,0.0
