query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0004704,0.0004645,2.1588062544944685e-05,0.0131209,0.0129365,0.0017796829586567754,154,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.00042199999999999996,0.0004205,1.4476033833739003e-05,0.008634300000000001,0.008662,0.0003806261070044109,7,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Success,0.0005347,0.000527,2.4340409929899644e-05,0.9066343,0.8675204999999999,0.09311745109752526,13600,
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0004298,0.00042,2.7128500798156083e-05,0.006572799999999999,0.006107,0.0012473734894658548,40,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Success,0.0005072,0.0004885,8.346629392888021e-05,0.8129194999999999,0.8005015,0.02906074627110141,41486,
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Success,0.0004912,0.000493,7.87118514301089e-06,2.5527196,2.5493699999999997,0.02049167351335114,1,
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0004933,0.000497,1.717265267802269e-05,25.5009411,24.864252,1.0764694476320336,449,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0004892,0.0004935,2.1938297310613888e-05,54.6595098,53.876333,2.8594305857873086,462,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.0005064,0.000511,1.981133233502708e-05,28.1420087,27.500261000000002,1.5893553532490274,0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Timeout,0.0005075,0.0005045,1.8046236911518882e-05,300.05832675,300.069469,0.034976113338245546,,Query timed out
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.00047410000000000003,0.0004655,2.0792359707888418e-05,0.0097485,0.009395,0.0007094301703949911,200,
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.0005189,0.0005155,2.5666450215537568e-05,9.4580345,9.382102,0.2558385391775443,200,
Query_013.sparql,12,17,"{'select': 1, 'where': 1, 'PropertyPath': 2, 'optional': 3, 'filter': 3, 'bound': 1, 'TermFunc': 2, 'bind': 1, 'DateFunc': 1, 'as': 1, 'limit': 1}",Timeout,0.000491,0.0004904999999999999,2.3122860261366174e-05,300.0054487,300.0049685,0.0010308261034613015,,Query timed out
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0005244,0.0005200000000000001,2.4927450286336528e-05,45.933104400000005,45.559516,1.7787023510765212,1,
Query_016.sparql,2,2,"{'select': 1, 'where': 1}",Success,0.00047549999999999996,0.0004805,1.4151953143569173e-05,0.0056119,0.0055969999999999995,0.00017298134131878032,325,
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}",Success,0.0005103,0.0005124999999999999,1.6117967889560066e-05,0.0141297,0.012892,0.0040161574518160735,4,
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0004638,0.000465,1.8280530019060638e-05,0.0070385000000000005,0.0069275,0.00030160505816566015,10,
Query_019.sparql,9,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0004952,0.0005,1.442066418565926e-05,36.3447181,35.8804465,1.1162932649226447,4,
Query_020.sparql,7,6,"{'select': 1, 'distinct': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0004657,0.000459,2.561271385681555e-05,0.0101751,0.0099545,0.0012762685584677446,1,
Query_021.sparql,7,4,"{'select': 1, 'where': 1, 'PropertyPath': 1, 'optional': 1}",Success,0.00047829999999999997,0.0004795,2.4344974384414062e-05,0.1407819,0.1401265,0.003094322307783147,2,
Query_022.sparql,7,4,"{'select': 1, 'where': 1, 'values': 1, 'optional': 1}",Success,0.00044600000000000005,0.000442,1.332499739420444e-05,0.0081941,0.008133,0.00017066630859337447,2,
Query_023.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.00042259999999999997,0.000426,1.1217050513491621e-05,0.0039528,0.0036119999999999998,0.00104747800825496,0,Empty Response
Query_024.sparql,10,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.0004484,0.000453,1.4104372844381785e-05,0.007081700000000001,0.0073904999999999995,0.0007658415922659492,0,Empty Response
Query_025.sparql,7,4,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1}",Success,0.000445,0.0004375,1.7987650084309408e-05,0.0066285,0.006953,0.0007265387119761752,0,Empty Response
Query_026.sparql,5,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0004351,0.0004345,1.3649989824986041e-05,0.0068179,0.006883,0.00027045124843079894,0,Empty Response
Query_027.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.00043499999999999995,0.0004375,7.149203529842389e-06,0.006636,0.0067865,0.0003795441710496657,0,Empty Response
Query_028.sparql,6,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.00044689999999999997,0.0004475,1.5807522822307667e-05,0.0069816,0.00696,0.0006356061324087077,0,Empty Response
Query_029.sparql,4,4,"{'select': 1, 'where': 1, 'filter': 1, 'StringFunc': 1}",Success,0.0004455,0.0004355,2.3071146000530133e-05,0.0067747,0.0069,0.0003590991970658433,0,Empty Response
Query_030.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.00043039999999999994,0.00042699999999999997,2.009532836811137e-05,0.0066468,0.0065994999999999995,0.0005825531544655626,0,Empty Response
Query_031.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0004409,0.00043650000000000004,1.678921611564333e-05,0.0067452,0.0064694999999999996,0.0005732028533696523,0,Empty Response
Query_032.sparql,23,11,"{'select': 1, 'distinct': 1, 'where': 1, 'minus': 2, 'values': 2, 'filter': 1, 'notexists': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0004646,0.0004625,1.1682845924212525e-05,0.0072701,0.007308,0.0006520177996888671,0,Empty Response
Query_033.sparql,8,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.00044219999999999996,0.00045,2.027477907812232e-05,0.006747599999999999,0.0067835,0.00043305714275241887,0,Empty Response
Query_034.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.000437,0.0004305,1.7198191119352573e-05,0.006501799999999999,0.00652,0.000433140418596813,0,Empty Response
Query_035.sparql,7,4,"{'select': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Success,0.00045979999999999995,0.000451,3.168525770063351e-05,0.0069364,0.0069914999999999995,0.0003687691840584177,0,Empty Response
