query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0003025,0.000303,1.679450968488082e-05,0.007004100000000001,0.0064104999999999995,0.002582566357112414,154.0,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0002879,0.0002785,2.1491341925942592e-05,0.0033937000000000004,0.003464,0.00026205641886179143,7.0,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Success,0.0003562,0.0003415,5.228724084856225e-05,0.40140899999999996,0.3974615,0.028433269308251474,13600.0,
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0003006,0.000294,2.5691330141595324e-05,0.0038316,0.00369,0.00048135646297151145,40.0,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Success,0.0003205,0.000327,2.1272047386182644e-05,0.41173199999999993,0.368732,0.408152945191165,8192.0,
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Success,0.000325,0.00031749999999999997,3.0206695357891166e-05,4.3985015,4.3812655,0.05285951774541424,1.0,
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0003215,0.00029,7.862180924456579e-05,0.0074117,0.0071815,0.0005215146849961819,449.0,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0003055,0.000298,3.381074779809914e-05,0.0082537,0.008247,0.0004389568569030696,462.0,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.0003483,0.000312,8.370457308627502e-05,0.06319519999999999,0.069265,0.0192478878137028,0.0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.00030409999999999996,0.0003055,8.912537984958782e-06,0.1594787,0.1562605,0.010905127479513691,0.0,Empty Response
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.00029529999999999997,0.00029549999999999997,1.4922391824964847e-05,0.0048243,0.004653,0.0005259450858533933,200.0,
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.0003312,0.0003275,3.1403467607539424e-05,2.2011966000000003,3.2884005,1.66302700069129,200.0,
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0002915,0.000285,1.608484448859304e-05,0.0279148,0.0277635,0.0007846156596279054,1.0,
Query_016.sparql,2,2,"{'select': 1, 'where': 1}",Success,0.0002758,0.0002745,9.271221901969333e-06,0.0030359999999999996,0.0030435,8.401058134412445e-05,325.0,
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}",Success,0.00028900000000000003,0.0002855,1.590946608504229e-05,0.0053068,0.0053065000000000005,0.0008025848241774819,4.0,
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.00029099999999999997,0.000291,1.2875471943885313e-05,0.0023054,0.002284,7.309537149049394e-05,10.0,
Query_019.sparql,9,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.00032680000000000003,0.00030000000000000003,7.47288431597867e-05,0.0037168,0.0038339999999999997,0.0004514531598688349,4.0,
Query_020.sparql,7,6,"{'select': 1, 'distinct': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0002924,0.0002925,1.1246727919216732e-05,0.0028103,0.002754,0.00027169388411715605,1.0,
Query_021.sparql,7,4,"{'select': 1, 'where': 1, 'PropertyPath': 1, 'optional': 1}",Success,0.0003062,0.000308,1.8359375443262415e-05,0.030378300000000004,0.030227,0.0006625710947178088,2.0,
Query_022.sparql,7,4,"{'select': 1, 'where': 1, 'values': 1, 'optional': 1}",Success,0.0002921,0.00028450000000000003,2.215826908602946e-05,0.0041123,0.004123,0.0004245156848299796,2.0,
