query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0006116,0.000605,2.2589820716420023e-05,0.0045005999999999996,0.004384,0.00019059590761608724,154.0,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0005382,0.000534,1.0917875251164945e-05,0.002012,0.00199,5.555627777308337e-05,7.0,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Success,0.0006512,0.000644,3.210451681617402e-05,0.9138156000000001,0.905167,0.047391803967563845,13600.0,
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005482,0.000541,2.9575327555244393e-05,0.0034388,0.003371,0.0001372723570133478,40.0,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Success,0.0006428,0.000628,3.955628900693289e-05,0.9481394,0.948967,0.001767482475160603,41486.0,
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Success,0.0006428,0.000644,2.397290136800299e-05,26.3000522,26.31497,0.05951639510000656,1.0,
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005474,0.000548,1.3221195104830721e-05,0.0123336,0.011963,0.0008701725690919019,449.0,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0005346,0.000532,2.836899716239542e-05,0.014747399999999999,0.014766,5.311120409103884e-05,462.0,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.0006552000000000001,0.000648,2.1947665023869854e-05,0.21174659999999998,0.211948,0.002363518521188276,0.0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.0006302,0.000634,1.7484278652549552e-05,0.4354576,0.43706,0.0038989118097233107,0.0,Empty Response
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.000534,0.000527,2.234949663862697e-05,0.0060288,0.005962,0.00011577866815609881,200.0,
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.0006318,0.000631,1.556277610196843e-05,9.8259668,9.855213,0.10129781960486613,200.0,
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0005914,0.00059,1.4690132742763065e-05,0.078473,0.07855,0.000595784776576238,1.0,
Query_016.sparql,2,2,"{'select': 1, 'where': 1}",Success,0.0005198,0.000516,1.657407614318218e-05,0.004914,0.004592,0.0007772293741232382,325.0,
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}",Success,0.0005364,0.000534,6.308724118234964e-06,0.006801,0.006791,7.492996730280898e-05,4.0,
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0005323999999999999,0.000536,1.4258330898110077e-05,0.0021094,0.002121,6.518665507602004e-05,10.0,
Query_019.sparql,9,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0005308,0.00053,8.288546314040817e-06,0.0031086,0.003103,3.746064601685352e-05,4.0,
Query_020.sparql,7,6,"{'select': 1, 'distinct': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0005350000000000001,0.000529,1.853375299285065e-05,0.0024264,0.002378,6.822243032903472e-05,1.0,
Query_021.sparql,7,4,"{'select': 1, 'where': 1, 'PropertyPath': 1, 'optional': 1}",Success,0.0005870000000000001,0.000567,3.3830459648074566e-05,0.0832798,0.083421,0.0023790079234840764,2.0,
Query_022.sparql,7,4,"{'select': 1, 'where': 1, 'values': 1, 'optional': 1}",Success,0.0005406,0.000536,2.062280291328024e-05,0.0053586,0.005374,0.0001058668975648199,2.0,
Query_023.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0005356,0.000529,2.8500877179483416e-05,0.0020386000000000002,0.002048,3.682118955166988e-05,0.0,Empty Response
Query_024.sparql,10,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.0005158,0.000516,6.0580524923443906e-06,0.0023792,0.002293,0.000239610517298386,0.0,Empty Response
Query_025.sparql,7,4,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1}",Success,0.0005256,0.000514,2.3093289068471817e-05,0.002498,0.002507,5.070995957403249e-05,0.0,Empty Response
Query_026.sparql,5,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0005222,0.000519,2.1288494545176305e-05,0.002012,0.002003,2.956349099818899e-05,0.0,Empty Response
Query_027.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005372,0.000526,2.4903814968795426e-05,0.0019688,0.001965,1.818515878401952e-05,0.0,Empty Response
Query_028.sparql,6,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.0005216,0.000526,1.1949895397031705e-05,0.0021306,0.00211,4.8018746339320444e-05,0.0,Empty Response
Query_029.sparql,4,4,"{'select': 1, 'where': 1, 'filter': 1, 'StringFunc': 1}",Success,0.0005256,0.000513,2.2545509530724737e-05,0.002057,0.002056,4.5276925690687125e-06,0.0,Empty Response
Query_030.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.0005188,0.000516,1.9370080020485185e-05,0.0021666000000000003,0.002166,2.575461123760164e-05,0.0,Empty Response
Query_031.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Success,0.000531,0.000522,2.5347583711273147e-05,0.0022474,0.00226,5.9226683175744246e-05,0.0,Empty Response
Query_032.sparql,23,11,"{'select': 1, 'distinct': 1, 'where': 1, 'minus': 2, 'values': 2, 'filter': 1, 'notexists': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0005562,0.000554,3.4928498393145862e-06,0.0033266000000000003,0.003256,0.00017434964869479934,0.0,Empty Response
Query_033.sparql,8,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.0005459999999999999,0.000542,2.0408331631958547e-05,0.0023469999999999997,0.002339,3.791437722025772e-05,0.0,Empty Response
Query_034.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0005252,0.000514,2.226432123375877e-05,0.0020834,0.002069,5.5612948132606534e-05,0.0,Empty Response
Query_035.sparql,7,4,"{'select': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0005302,0.000532,1.1945710527214373e-05,0.0021864000000000002,0.002192,3.0270447634615623e-05,0.0,Empty Response
Query_036.sparql,8,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.0005258,0.000526,1.1691877522451185e-05,0.0022512,0.002216,7.539363368348821e-05,0.0,Empty Response
Query_037.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.00053,0.000527,1.849324200890698e-05,0.002261,0.002257,2.532785028382785e-05,0.0,Empty Response
Query_038.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.000541,0.00054,1.1224972160321856e-05,0.002307,0.002275,6.581413222097515e-05,0.0,Empty Response
Query_039.sparql,4,4,"{'select': 1, 'Order': 2, 'limit': 1}",Success,0.000516,0.000517,5.338539126015677e-06,0.0019858000000000002,0.001989,1.2833549781724412e-05,0.0,Empty Response
Query_040.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.000556,0.00055,2.089258241577617e-05,0.01444,0.014226,0.000461109531456464,740.0,
Query_041.sparql,2,4,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 1}",Success,0.0005202,0.000523,6.723094525588675e-06,0.0025612000000000005,0.002566,1.722498185775536e-05,39.0,
Query_042.sparql,5,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.0006038,0.000596,2.854295009279877e-05,0.09639,0.096278,0.0005764212869074115,17.0,
Query_043.sparql,4,3,"{'select': 1, 'distinct': 1, 'where': 1}",Success,0.0006282,0.000636,2.0042454939452913e-05,0.3460562,0.341781,0.0075947533007991895,107.0,
Query_044.sparql,3,6,"{'select': 1, 'where': 1, 'Order': 2, 'StringFunc': 1, 'TermFunc': 1}",Success,0.0006454,0.000635,2.4099792530227288e-05,0.544656,0.539235,0.013627474399168747,9346.0,
Query_045.sparql,6,10,"{'select': 1, 'SetFunc': 1, 'as': 1, 'PropertyPath': 4, 'groupby': 1, 'Order': 2}",Timeout,0.0006406000000000001,0.000641,3.0038308873836402e-05,300.00446739999995,300.004406,0.0008336991663576006,1.0,
Query_046.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0006452,0.000637,2.8882520665620575e-05,0.5824538,0.580561,0.004289244070929043,14591.0,
Query_047.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005734000000000001,0.000577,3.2385181796617984e-05,0.23198,0.230969,0.0025378747999064083,203.0,
Query_048.sparql,12,19,"{'select': 2, 'where': 2, 'SetFunc': 1, 'as': 1, 'PropertyPath': 2, 'minus': 3, 'filter': 1, 'notexists': 1, 'groupby': 1, 'Order': 4, 'limit': 1}",Success,0.0006402,0.000646,1.333041634758649e-05,38.1977384,38.257281,0.1716561789167535,1000.0,
Query_049.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0005857999999999999,0.000579,3.1395859599635105e-05,0.20862560000000002,0.206235,0.006354415693043704,2.0,
Query_050.sparql,9,9,"{'select': 1, 'SetFunc': 1, 'distinct': 1, 'as': 1, 'where': 1, 'PropertyPath': 1, 'groupby': 1, 'Order': 2}",Success,0.0005372,0.000533,1.3479614237803662e-05,0.0023813999999999997,0.002376,4.320648099533217e-05,0.0,Empty Response
Query_051.sparql,7,8,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'TermFunc': 2, 'limit': 1}",Success,0.0006614,0.000656,1.467310464761971e-05,0.5006914,0.500733,0.004180170068310619,168.0,
Query_052.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'limit': 1}",Success,0.0006618,0.000643,6.32194590296374e-05,36.007178999999994,36.0526,0.23485320413611407,300.0,
Query_053.sparql,7,3,"{'select': 1, 'where': 1, 'optional': 1}",Success,0.0006688,0.000671,2.2521101216414803e-05,7.263613600000001,7.273867,0.09564441077919815,39986.0,
Query_054.sparql,6,6,"{'select': 1, 'where': 1, 'filter': 1, 'Order': 2, 'limit': 1}",Success,0.0006318,0.000621,2.6901672810440687e-05,22.0007128,21.927227,0.38196141519687515,0.0,Empty Response
Query_056.sparql,6,5,"{'select': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.0005589999999999999,0.000551,3.447462835187635e-05,0.0640082,0.063966,0.0011402730813274474,0.0,Empty Response
