,Store,Arithmetic Mean,Median,Geometric Mean,Success,Timeout,Error
16,RDFox (adjusted for R5 instance),21.14140152834328,0.005687929,0.0306546003237119,,,
15,RDFox,23.072540378507465,0.0090876,0.048296677139694835,325.0,4.0,6.0
11,GraphDB 512,24.96813913701492,0.0391983,0.09183337978187261,323.0,6.0,6.0
10,GraphDB 256,26.085291682985076,0.0359871,0.09189099803961732,322.0,7.0,6.0
9,GraphDB 128,26.134652079701482,0.0351302,0.08369402039332613,322.0,7.0,6.0
17,Amazon Neptune 512 (adjusted by latency reduction),36.36657151552241,0.16757650000000002,0.28945571075108306,,,
2,Amazon Neptune 512,36.45870852268655,0.1770352,0.3006460622104039,316.0,17.0,2.0
1,Amazon Neptune 256,40.98449632417911,0.1587599999999999,0.3278561442416403,314.0,19.0,2.0
0,Amazon Neptune 128,43.96278212746267,0.1779393,0.36829669749024146,313.0,20.0,2.0
8,Stardog 512,46.43083702000003,0.0672744,0.19536858019316944,312.0,20.0,3.0
7,Stardog 256,46.66063875223879,0.058961,0.1789108544691112,312.0,20.0,3.0
6,Stardog 128,48.09087798776117,0.0648946,0.20097487711742376,311.0,21.0,3.0
14,Jena Fuseki 512,153.12706387761196,0.7582837,1.3078741608590712,253.0,58.0,24.0
13,Jena Fuseki 256,184.2070866973134,0.7084824000000001,1.409200917132277,234.0,77.0,24.0
12,Jena Fuseki 128,196.08032235552238,0.7039394999999999,1.5519327988659752,227.0,84.0,24.0
5,Qlever 512,406.5769088408955,600.0,13.094783566688168,108.0,0.0,227.0
4,Qlever 256,408.36821896716435,600.0,13.288940013744693,107.0,0.0,228.0
3,Qlever 128,410.1522080805972,600.0,13.743076278629614,106.0,0.0,229.0
18,GraphDB x1e.4xlarge,,,,322.0,7.0,6.0
19,GraphDB 128*,,,,324.0,5.0,6.0
