query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.012735199999999999,0.012406,0.0008494032938219369,0.018129100000000002,0.017862000000000003,0.0011270610207280009,154,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.012689800000000001,0.0123745,0.0007538402129540895,0.0164955,0.016176999999999997,0.0008294976056492133,7,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Success,0.0129085,0.0127745,0.0004110650800055879,0.6753091,0.6727700000000001,0.012802593812279715,13600,
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0126322,0.0123685,0.0008575822344760228,0.019510800000000002,0.0191295,0.0011283221368228325,40,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Success,0.012687599999999999,0.012544,0.00036738874355223374,0.5873077999999999,0.5897114999999999,0.011226653293737099,41486,
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Success,0.015347099999999999,0.013882499999999999,0.0049798794374072055,13.783771300000002,13.793962,0.8183663014289234,1,
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0124834,0.0124385,0.00012150921318521082,0.0346287,0.0340995,0.00142613012106968,449,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.012705900000000001,0.0125105,0.0005443625119756542,0.0393948,0.0391815,0.0012060508373290995,462,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.012756,0.012584999999999999,0.0005108159050860586,0.3075573,0.3089685,0.006334458392177045,0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.0128064,0.0125545,0.0005927870518903807,0.5657344,0.5647705000000001,0.019994768038997943,0,Empty Response
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0124411,0.0124225,0.0001258115433672301,0.0711879,0.037901000000000004,0.08212116765074777,200,
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.017110300000000002,0.0137625,0.007050329465114852,6.924495299999999,6.9104925,0.050918607181897904,200,
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.012472500000000001,0.012476999999999999,6.217939994707053e-05,0.1333538,0.13299149999999998,0.003095208153115264,1,
Query_016.sparql,2,2,"{'select': 1, 'where': 1}",Success,0.0123436,0.0122095,0.0004926294979213304,0.0176723,0.0174285,0.0005831275922891054,325,
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}",Success,0.0127969,0.0122695,0.001275990373526906,0.0244079,0.024218,0.0012723939335843371,4,
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0122903,0.0122395,0.0001333367082906191,0.0193407,0.016677,0.007175899913367428,10,
