query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0005805000000000001,0.00057,5.683748762920474e-05,0.0010475999999999999,0.0010365,5.8426021599968605e-05,154,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0005648999999999999,0.000561,5.100860493855696e-05,0.0008781,0.0008395,0.00011829666098415453,7,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Success,0.0007264,0.0007095000000000001,5.593090976076344e-05,37.501349,37.4148415,0.27259603024622503,13600,
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005721,0.0005365,7.50295497343103e-05,0.001068,0.0010365,8.530468269027724e-05,40,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Success,0.0007229000000000001,0.0007199999999999999,5.814436057492301e-05,13.7648389,13.648979,0.36533199098641744,41486,
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Success,0.0007208,0.0007175,3.0143361163317883e-05,8.7477777,8.6719605,0.2605280856116197,1,
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0006097,0.0006295,8.133476774691403e-05,0.0017883,0.001633,0.0005634816471427144,449,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0006156,0.0006050000000000001,4.3815775951387894e-05,0.0018061000000000002,0.001714,0.0002570769232047958,462,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.0005928,0.0005965,5.174681954800054e-05,0.0174196,0.017304,0.0007023948240760955,0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.000726,0.000727,4.000277768133387e-05,16.2588704,16.413463,0.5508055999784317,0,Empty Response
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0006028,0.00059,6.567225018563353e-05,0.0013644,0.0012635,0.0002737302808727355,200,
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.0007077,0.0007085,3.434482008493667e-05,2.0452605,2.0440875,0.02581701091334948,200,
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0005742,0.0005605,6.595756211383194e-05,0.0062253000000000005,0.006225,0.00011429110007150818,1,
Query_016.sparql,2,2,"{'select': 1, 'where': 1}",Success,0.0005452,0.000524,4.8363898381609716e-05,0.0010114,0.0010025,6.201111011567008e-05,325,
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}",Success,0.0007297,0.00073,3.2145675361461076e-05,88.1844539,83.0537355,12.473626229701278,4,
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0006178000000000001,0.0005985000000000001,7.51380950872015e-05,0.0011782000000000001,0.0011675000000000001,6.982804275902028e-05,10,
Query_019.sparql,9,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0006097,0.0006119999999999999,7.431621626536167e-05,0.0011713,0.0011205,0.000164060998141274,4,
Query_020.sparql,7,6,"{'select': 1, 'distinct': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0006114,0.0006165,4.90265234337496e-05,0.0011801000000000001,0.001137,0.00010941912284625772,1,
Query_021.sparql,7,4,"{'select': 1, 'where': 1, 'PropertyPath': 1, 'optional': 1}",Success,0.0006095,0.0006195,4.3808294496210056e-05,0.0148282,0.0110825,0.007963659736578402,2,
Query_022.sparql,7,4,"{'select': 1, 'where': 1, 'values': 1, 'optional': 1}",Success,0.0005643,0.0005455,5.7242272646862815e-05,0.0014948,0.0014204999999999999,0.0003024183268990894,2,
Query_023.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0005741,0.0005815,6.501358832326255e-05,0.0009733999999999999,0.000949,0.00011794556183068332,0,Empty Response
Query_024.sparql,10,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.000589,0.0005629999999999999,6.018490028422594e-05,0.0014953000000000002,0.0011235,0.001262308207654181,0,Empty Response
Query_025.sparql,7,4,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1}",Success,0.0005878999999999999,0.0006005,5.997119679016287e-05,0.0011005,0.0010985,7.830034766490153e-05,0,Empty Response
Query_026.sparql,5,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0005496,0.000529,4.809296552858156e-05,0.0010099,0.001005,6.540548736748146e-05,0,Empty Response
Query_027.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005609,0.0005510000000000001,5.310879818301716e-05,0.0009168000000000001,0.0008765,0.00010124425909650386,0,Empty Response
Query_028.sparql,6,3,"{'select': 1, 'where': 1, 'minus': 1}",Success,0.0005478,0.000528,5.473329273242507e-05,0.0010329,0.0010145,7.969169760186231e-05,0,Empty Response
Query_029.sparql,4,4,"{'select': 1, 'where': 1, 'filter': 1, 'StringFunc': 1}",Success,0.0005545999999999999,0.0005304999999999999,5.162299229348618e-05,0.0009542999999999999,0.000938,8.850367224019584e-05,0,Empty Response
Query_030.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.0005672,0.0005565,5.72029525267514e-05,0.0009515000000000001,0.0009174999999999999,7.969699562161119e-05,0,Empty Response
Query_031.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0005815,0.0005729999999999999,4.6612468527446875e-05,0.0010272999999999999,0.001013,5.9010451051769996e-05,0,Empty Response
Query_032.sparql,23,11,"{'select': 1, 'distinct': 1, 'where': 1, 'minus': 2, 'values': 2, 'filter': 1, 'notexists': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0005797,0.0005705,4.37087583392111e-05,0.001186,0.001145,8.766349804159591e-05,0,Empty Response
Query_033.sparql,8,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.000579,0.0005595000000000001,6.22646680621433e-05,0.0015252999999999998,0.000998,0.0015859238492297023,0,Empty Response
Query_034.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0005844,0.000583,6.264396752015846e-05,0.000967,0.000973,8.433662707665433e-05,0,Empty Response
Query_035.sparql,7,4,"{'select': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}",Success,0.0005623,0.0005549999999999999,4.230589662078905e-05,0.0013544,0.000964,0.0012358426005496547,0,Empty Response
Query_036.sparql,8,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.000579,0.0005595000000000001,7.516796007756382e-05,0.0014452,0.0010125,0.0013655920816017253,0,Empty Response
Query_037.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.0005512,0.0005564999999999999,3.524138980737784e-05,0.0009646,0.000969,3.8873584290049156e-05,0,Empty Response
Query_038.sparql,8,2,"{'select': 1, 'where': 1}",Success,0.0005806,0.0005685,3.988650565458618e-05,0.0013908,0.0009710000000000001,0.0013081251044486872,0,Empty Response
Query_039.sparql,4,4,"{'select': 1, 'Order': 2, 'limit': 1}",Success,0.0005791,0.0005740000000000001,4.5588619437555046e-05,0.0009375,0.000946,4.878353547390077e-05,0,Empty Response
Query_040.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.0005746,0.000575,4.986247754240324e-05,0.0027574,0.0020235,0.0016560160493049442,740,
Query_041.sparql,2,4,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 1}",Success,0.0005526,0.0005399999999999999,4.455259064671025e-05,0.0016330000000000001,0.0011575000000000001,0.0015052947293544285,39,
Query_042.sparql,5,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.0005994,0.0006075,4.865570652839997e-05,0.0100656,0.007504500000000001,0.006166100157762243,17,
Query_043.sparql,4,3,"{'select': 1, 'distinct': 1, 'where': 1}",Success,0.0005775,0.0005514999999999999,5.823563246749264e-05,0.0119032,0.008570999999999999,0.007773787248039259,107,
Query_044.sparql,3,6,"{'select': 1, 'where': 1, 'Order': 2, 'StringFunc': 1, 'TermFunc': 1}",Success,0.0005894,0.000607,6.313688831948134e-05,0.0241804,0.021961,0.004841573853384639,9346,
Query_045.sparql,6,10,"{'select': 1, 'SetFunc': 1, 'as': 1, 'PropertyPath': 4, 'groupby': 1, 'Order': 2}",Timeout,0.0007291999999999999,0.0007134999999999999,5.6683918942383145e-05,300.3167819,300.318039,0.006332413572701567,,Request exceeded the time limit of 300000 ms.
Query_046.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0006901,0.000683,2.706555826958764e-05,0.100965,0.100991,0.007959566068574342,14591,
Query_047.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0006817,0.00069,3.8606418579758944e-05,0.0387228,0.036374500000000004,0.00984021397463829,203,
Query_048.sparql,12,19,"{'select': 2, 'where': 2, 'SetFunc': 1, 'as': 1, 'PropertyPath': 2, 'minus': 3, 'filter': 1, 'notexists': 1, 'groupby': 1, 'Order': 4, 'limit': 1}",Success,0.0007421999999999999,0.0007535,3.840948956818991e-05,3.3119931,3.2878575000000003,0.11279785035427053,1000,
Query_049.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}",Success,0.0006360000000000001,0.000634,5.701656679324783e-05,0.0286774,0.0296145,0.0080440471046745,2,
Query_050.sparql,9,9,"{'select': 1, 'SetFunc': 1, 'distinct': 1, 'as': 1, 'where': 1, 'PropertyPath': 1, 'groupby': 1, 'Order': 2}",Success,0.0006034,0.0006025,4.580441511955418e-05,0.0017194,0.0011245,0.0018604064788821468,0,Empty Response
Query_051.sparql,7,8,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'TermFunc': 2, 'limit': 1}",Success,0.0007153,0.0007160000000000001,3.814023830258242e-05,0.129555,0.13068000000000002,0.0053024599113157935,168,
Query_052.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'limit': 1}",Success,0.0007303,0.0007145000000000001,3.8525748965248356e-05,6.5957719,6.527426,0.21667905034428214,300,
Query_053.sparql,7,3,"{'select': 1, 'where': 1, 'optional': 1}",Success,0.0007308,0.0007205,2.368215455663702e-05,1.5331018,1.5369925,0.027306491351976346,39986,
Query_054.sparql,6,6,"{'select': 1, 'where': 1, 'filter': 1, 'Order': 2, 'limit': 1}",Success,0.0007766,0.0007869999999999999,4.211676889579997e-05,13.874565899999999,13.861131,0.12186010959424826,0,Empty Response
Query_056.sparql,6,5,"{'select': 1, 'where': 1, 'groupby': 1, 'Order': 2}",Success,0.000596,0.0006015,4.5803929962395124e-05,0.010576499999999999,0.0085165,0.005522945817224717,0,Empty Response
Query_057.sparql,10,5,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1, 'Order': 1}",Success,0.000584,0.000582,5.315177429880502e-05,0.0105641,0.0091105,0.003688590259164063,549,
Query_058.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0005807,0.0005665,4.720181258289892e-05,0.0013812,0.001379,5.973608624608746e-05,327,
Query_059.sparql,6,2,"{'select': 1, 'where': 1}",Success,0.0007358,0.0007295,7.656195748107106e-05,0.0817747,0.081087,0.006077680552645064,0,Empty Response
Query_060.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 1, 'StringFunc': 1}",Success,0.0006108999999999999,0.0006025,5.448435045446025e-05,0.0085719,0.006979,0.0044923078812565825,1451,
Query_061.sparql,13,15,"{'select': 2, 'where': 2, 'SetFunc': 2, 'distinct': 1, 'as': 2, 'DateFunc': 1, 'filter': 1, 'TermFunc': 1, 'groupby': 1, 'Order': 2}",Success,0.0005928,0.0006045,3.760850967533812e-05,0.0032763000000000002,0.0026005,0.001478803348807557,34,
Query_062.sparql,7,6,"{'select': 1, 'distinct': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.0005895,0.0005679999999999999,5.4424769687666595e-05,0.0022206,0.0020829999999999998,0.0003871491816972998,94,
Query_063.sparql,19,17,"{'select': 2, 'where': 2, 'SetFunc': 4, 'as': 4, 'union': 1, 'optional': 1, 'groupby': 1, 'Order': 2}",Success,0.0006393,0.0006305,4.3693503203819925e-05,0.0227368,0.0205725,0.00595272333194368,1978,
Query_064.sparql,5,11,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 8}",Timeout,0.0007612,0.0007704999999999999,5.223834266555978e-05,301.99716049999995,301.987207,0.3706291344044477,,Request exceeded the time limit of 300000 ms.
Query_065.sparql,21,22,"{'select': 3, 'where': 3, 'SetFunc': 5, 'as': 5, 'union': 1, 'optional': 1, 'groupby': 2, 'Order': 2}",Success,0.0006451,0.0006485,8.126287932109934e-05,0.017422,0.014922999999999999,0.0063229363607601044,48,
Query_066.sparql,10,16,"{'select': 2, 'PropertyPath': 1, 'as': 3, 'where': 2, 'SetFunc': 2, 'distinct': 2, 'groupby': 1, 'Order': 2, 'limit': 1}",Success,0.0007255,0.0007245,1.613312672044008e-05,2.5048411,2.500394,0.04856008342123979,100,
Query_067.sparql,8,5,"{'select': 1, 'where': 1, 'bind': 1, 'as': 1, 'Order': 1}",Success,0.0005942,0.000594,6.101511652405857e-05,0.0011417999999999999,0.0011445,0.00011706769171912654,0,Empty Response
Query_069.sparql,15,17,"{'select': 1, 'SetFunc': 4, 'as': 4, 'optional': 3, 'PropertyPath': 1, 'groupby': 1, 'Order': 1, 'if': 1, 'bound': 1}",Success,0.0005994,0.000598,4.923458585633113e-05,0.0041142999999999996,0.003669,0.0011606131569131897,456,
Query_070.sparql,8,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'optional': 1, 'Order': 1}",Success,0.00058,0.000587,5.672545969648711e-05,0.0028265,0.002541,0.0006007584558058441,481,
Query_071.sparql,7,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'optional': 1, 'groupby': 1, 'Order': 1}",Success,0.0005837,0.0005835,5.204709405913073e-05,0.0013447,0.0012975,0.00018941433126584933,61,
Query_072.sparql,6,6,"{'select': 1, 'SetFunc': 1, 'distinct': 1, 'as': 1, 'where': 1, 'groupby': 1}",Success,0.0005689,0.000563,4.8701927865103835e-05,0.0065323,0.0054505000000000005,0.002574357484025005,2603,
Query_073.sparql,11,13,"{'select': 1, 'SetFunc': 2, 'as': 2, 'where': 1, 'minus': 1, 'optional': 3, 'groupby': 1, 'Order': 2}",Success,0.0007252,0.0007260000000000001,5.0492683738449766e-05,0.4218096,0.420655,0.013504700417920344,2826,
Query_074.sparql,8,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.0006950999999999999,0.000686,4.102153905775193e-05,0.0925941,0.0923225,0.005873488655721479,137,
Query_075.sparql,6,7,"{'select': 1, 'where': 1, 'optional': 2, 'PropertyPath': 1, 'Order': 2}",Success,0.0006543,0.000654,5.742250816922271e-05,0.0689051,0.058897,0.07190844023625538,17,
Query_076.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0007064,0.0006889999999999999,3.832086753831247e-05,0.6411568,0.630018,0.055879092583501724,46479,
Query_077.sparql,4,4,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 1}",Success,0.000722,0.0007195,2.98923996285938e-05,0.4984922,0.4950275,0.009172206844593075,5819,
Query_078.sparql,12,9,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1, 'filter': 2, 'StringFunc': 1, 'Order': 1, 'limit': 1}",Success,0.000731,0.0007335,2.7740864362084246e-05,0.4958292,0.484784,0.03018499457530365,0,Empty Response
Query_080.sparql,7,9,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'notexists': 2, 'optional': 1, 'Order': 1}",Success,0.0005601,0.000555,4.001791265587622e-05,0.0015131,0.0014364999999999998,0.0002206588367190905,202,
Query_081.sparql,7,8,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 3, 'minus': 2}",Success,0.0005623000000000001,0.0005515,5.3431264256051425e-05,0.0023189,0.0023115,6.551920837942618e-05,193,
Query_082.sparql,11,14,"{'select': 2, 'distinct': 1, 'where': 2, 'SetFunc': 1, 'as': 1, 'PropertyPath': 4, 'groupby': 1, 'Order': 2}",Success,0.0007254,0.0007085,3.814941385890191e-05,1.5065106,1.483983,0.089803338953268,290,
Query_083.sparql,16,17,"{'select': 3, 'NumbericFunc': 1, 'PropertyPath': 1, 'as': 2, 'where': 3, 'SetFunc': 1, 'distinct': 1, 'filter': 1, 'notexists': 1, 'groupby': 1, 'Order': 2}",Success,0.0007561,0.0007645,5.2602175704897296e-05,3.7323548000000004,3.7191785,0.12974862077862545,27,
Query_084.sparql,5,5,"{'select': 1, 'where': 1, 'PropertyPath': 2, 'limit': 1}",Success,0.0005488,0.0005425,6.29334745761127e-05,0.0019564,0.001739,0.0004520964007328034,100,
Query_085.sparql,5,5,"{'select': 1, 'distinct': 1, 'groupby': 1, 'Order': 2}",Success,0.0005958,0.000589,4.4271385290676815e-05,0.0013762,0.0013695,0.00013620964234101296,183,
Query_086.sparql,8,9,"{'select': 2, 'PropertyPath': 1, 'as': 2, 'SetFunc': 1, 'where': 1, 'groupby': 1, 'Order': 1}",Success,0.0006016999999999999,0.0005775,5.8560604884550544e-05,0.010106,0.0081925,0.005335034832751017,240,
Query_087.sparql,9,10,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 3, 'TermFunc': 3, 'Order': 1}",Success,0.0005826,0.000576,5.076350395050895e-05,0.007397099999999999,0.006947999999999999,0.0014264790725574792,97,
Query_088.sparql,8,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 1, 'in': 1, 'optional': 1, 'groupby': 1}",Success,0.000715,0.0007134999999999999,2.9070794813886857e-05,0.717214,0.7158705000000001,0.016985908741594582,47,
Query_089.sparql,9,7,"{'select': 1, 'where': 1, 'values': 1, 'PropertyPath': 1, 'optional': 2, 'limit': 1}",Success,0.0006201,0.0006215,6.832024264854118e-05,0.0021742000000000003,0.0019665,0.0006517178667013648,100,
Query_090.sparql,12,10,"{'select': 1, 'distinct': 1, 'where': 1, 'optional': 3, 'PropertyPath': 2, 'filter': 1, 'bound': 1}",Success,0.000727,0.000729,2.208569169796993e-05,0.9884394000000001,0.9739655,0.03157924748663627,32507,
Query_091.sparql,6,8,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2, 'limit': 1}",Success,0.0007289999999999999,0.0007134999999999999,7.980671094031572e-05,1.3310741,1.3286769999999999,0.015528372451383573,100,
Query_092.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 1, 'NumbericFunc': 1}",Success,0.0007104,0.0007149999999999999,2.1484878403193265e-05,0.6872266,0.686448,0.009572486188144763,73,
Query_093.sparql,7,6,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 1, 'filter': 1, 'StringFunc': 1}",Success,0.0007291999999999999,0.0007210000000000001,4.341991350623457e-05,28.046826699999997,27.642469,1.8274710593937094,,Incomplete result
Query_094.sparql,7,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0006158,0.000614,8.37692598086487e-05,0.0010567999999999999,0.0010375,0.0001091164515552077,12,
Query_095.sparql,5,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0005752,0.0005735,5.1044207419756366e-05,0.0010278000000000002,0.0010170000000000001,5.4513606864097045e-05,54,
Query_096.sparql,5,3,"{'select': 1, 'where': 1, 'values': 1}",Success,0.0005862,0.0005809999999999999,4.9946193270580915e-05,0.001033,0.0010345,6.744380376777895e-05,44,
Query_097.sparql,6,6,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1, 'PropertyPath': 2}",Success,0.0005764,0.000572,4.3068936988661974e-05,0.0015706000000000001,0.0015409999999999998,8.904455813430334e-05,76,
Query_098.sparql,15,10,"{'select': 1, 'where': 1, 'filter': 4, 'TermFunc': 3, 'limit': 1}",Success,0.0006096,0.0005974999999999999,6.070731239132379e-05,0.0110781,0.008893999999999999,0.0046275441398939314,100,
