query_file,NumberOfLines,NumberOfKeywords,Keywords,Class,time_pretransfer_mean,time_pretransfer_median,time_pretransfer_std,time_total_mean,time_total_median,time_total_std,NumberOfResult,Error
Query_001.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.00041729999999999995,0.000414,2.4572116084881438e-05,0.0060907999999999995,0.005964499999999999,0.0006226880438871454,154,
Query_002.sparql,3,2,"{'select': 1, 'where': 1}",Success,0.00040549999999999994,0.00040249999999999997,1.3410195126594302e-05,0.0048671,0.0046865,0.0004494617645337339,7,
Query_003.sparql,9,15,"{'select': 1, 'distinct': 1, 'DateFunc': 2, 'as': 2, 'where': 1, 'PropertyPath': 2, 'optional': 5, 'Order': 1}",Success,0.0004797,0.00048300000000000003,1.7346469381404393e-05,18.645295400000002,18.557474,0.18095422273492387,13600,
Query_004.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.00041390000000000003,0.000412,1.799660461803221e-05,0.0059298,0.005771,0.0005686689722501131,40,
Query_005.sparql,3,5,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2}",Success,0.00046369999999999994,0.000463,2.6047179416504114e-05,18.351067399999998,17.658486500000002,1.9049184552418335,41486,
Query_006.sparql,3,4,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1}",Success,0.0004619,0.0004625,1.2467290536974483e-05,2.0344857,2.0255035,0.03710532181072929,1,
Query_007.sparql,4,2,"{'select': 1, 'where': 1}",Success,0.0004038,0.00039499999999999995,1.9831512521461605e-05,0.0096038,0.009375999999999999,0.0005244715435559875,449,
Query_008.sparql,5,2,"{'select': 1, 'where': 1}",Success,0.0003999,0.0003975,1.1474125481079405e-05,0.011716899999999999,0.0114765,0.0007933063650878447,462,
Query_009.sparql,5,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 2}",Success,0.00042259999999999997,0.0004135,2.821819743829617e-05,0.0978811,0.097492,0.0021398288327184804,0,Empty Response
Query_010.sparql,5,7,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 2, 'Order': 2}",Success,0.00047479999999999994,0.0004745,1.6784913861361765e-05,9.6377445,9.5228985,0.2281693493089191,0,Empty Response
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}",Success,0.00040889999999999996,0.0004025,2.879602596038401e-05,0.006379600000000001,0.006279,0.0005055246339749981,200,
